Lifehouse,USA,,Group,1996,,"['Rock']"
Maxim,United Kingdom,Male,Person,1967-03-21,,"['Electro']"
Warrior King,Unknown,,Person,1979-07-27,,"['Unknown']"
Selena,USA,Female,Person,1971-04-16,1995-03-31,"['Dance','Vocal']"
Sahil Jagtiani,Unknown,,Person,,,"['Unknown']"
Pele,Unknown,,Group,1997,2004,"['Unknown']"
Cyril Neville,USA,Male,Person,1948-10-10,,"['Unknown']"
Trash Palace,Unknown,,Group,,,"['Unknown']"
Illnath,Denmark,,Group,2000,,"['Symphonic','Melodic','Gothic','Metal']"
The Ladybug Transistor,USA,,Group,1995,,"['Rock','Pop','Classic']"
4LYN,Germany,,Group,2000,,"['Rock','Rap','Metal']"
Ciara,Unknown,Female,Person,1985-10-25,,"['Pop']"
Strongarm,USA,,Group,1993,1998,"['Unknown']"
Tyler Bates,USA,Male,Person,1977-02-22,,"['Unknown']"
Noémi,Germany,,Group,,,"['Unknown']"
Josh Rouse,USA,Male,Person,1972,,"['Folk','Country']"
Altar,Netherlands,,Group,,2001,"['Unknown']"
Ken Nordine,USA,Male,Person,1920-04-13,,"['Unknown']"
Shout Out Out Out Out,Canada,,Group,2005,,"['Unknown']"
Fireflies,USA,Male,Person,,,"['Unknown']"
Beth Carvalho,Brazil,Female,Person,1946-05-05,,"['Unknown']"
Bola,United Kingdom,Male,Person,,,"['Downtempo','Electro']"
Briskeby,Norway,,Group,1999,,"['Unknown']"
L’ÂME IMMORTELLE,Austria,,Group,1996-01-10,,"['Electro','Gothic']"
SoKo,France,Female,Person,1986-10-26,,"['Rock','Pop','Classic']"
We Are Wolves,Unknown,,Group,2000,,"['Unknown']"
paris match,Japan,,Group,1998,,"['Unknown']"
Grafh,USA,Male,Person,,,"['Unknown']"
The Samuel Jackson Five,Unknown,,Group,,,"['Rock','Progressive']"
The Boy Bathing,Unknown,,Group,,,"['Unknown']"
Kas Product,France,,Group,1980,,"['Unknown']"
The Rifles,United Kingdom,,Group,2004,,"['Rock','Indie']"
SE7EN,South Korea,Male,Person,1984-11-09,,"['Pop','Urban','J-pop']"
Inspiral Carpets,United Kingdom,,Group,1989,,"['Rock','Indie']"
Freddie Mercury,United Kingdom,Male,Person,1946-09-05,1991-11-24,"['Rock','Pop','Classic']"
Sto zvířat,Czech Republic,,Group,1990,,"['Ska']"
Sonic Team,Unknown,,,,,"['Unknown']"
Eric Lau,United Kingdom,,Person,,,"['Unknown']"
